unknown,746697275381006336
remain,746354930630402048
unknown,746184438489432064
unknown,745905056134893568
remain,746366540354818048
unknown,746234538846609408
unknown,746489143052537856
unknown,746704570680774656
remain,745830728773079040
unknown,746382619101761537
unknown,746602434802388992
leave,746043312503652353
unknown,746675781116563456
leave,746614550946951170
leave,746397709817372672
leave,746176160057352193
remain,746662503409680384
remain,745920669976825856
unknown,746107246447308801
remain,746497900646043648
unknown,746475183242805248
leave,746187932013191168
leave,745938852548861952
leave,746067496118198272
remain,746261041638678528
remain,745944643318255616
remain,745996588489785348
unknown,746656732722630656
unknown,746292248040607744
unknown,746512981727420417
leave,746156544237117440
remain,746403218297610240
unknown,746443480034119680
leave,745989689354616832
remain,746051218624122880
unknown,746203520353722369
unknown,746599706164346880
unknown,746313310669148160
unknown,746281329210298368
unknown,746272183270375424
unknown,746176931452747776
remain,746456955863048192
unknown,746337239379083264
unknown,746004831228297216
remain,746287196961898496
remain,746160996943863808
unknown,746574266749980672
unknown,746367878992007170
unknown,746189692517789700
remain,745942773761736704
remain,745902650303053824
unknown,746640373825544192
remain,745945726518099968
unknown,746187062085324800
remain,746448904292532224
unknown,746705213252329472
remain,746401580262424577
remain,746306738832343040
remain,745971440206381056
leave,745937427349577728
unknown,746350753162342404
unknown,745876216402542593
unknown,746636640483950592
remain,746263616970756096
remain,745866804250173440
unknown,746550863607513088
leave,746031388202246145
remain,746265025774559233
remain,746251541628264448
unknown,746473194484228096
remain,745987354884771841
remain,746698860307881984
remain,746201688298577920
unknown,746254246132256769
unknown,746158379744137216
unknown,746098748690939904
unknown,746350117247160320
leave,746476341499822081
unknown,745908603131957248
leave,746037589040373760
unknown,745974062350995456
unknown,746345573305950209
unknown,746358910399946753
unknown,746696557555159040
unknown,746049951243743232
leave,745892082544447488
unknown,746426071919304704
unknown,746746953413853184
leave,745919372514988032
unknown,746467357699280897
unknown,746437124027604992
remain,745909127336108032
unknown,746334036700860416
unknown,746287158898524160
unknown,745887977709125636
remain,746189194544877568
remain,746217676389834752
remain,745960848133324800
leave,746353772142694400
unknown,746368428571656193
remain,746279983782432768
unknown,746018408139993089
remain,746038611523567616
unknown,746281947056508928
