|unknown|,|RT @rapplerdotcom: Got questions about #Brexit? Find some key information about #EUREF here: https://t.co/6gPMdE6Pml|
|remain|,|RT @Na_jee_ma: Petition to throw Boris in a dump if remain wins tomorrow. Say aye  #aye #VoteRemain #EUref|
|remain|,|#NoBillNoBreak #Brexit Things fall apart; the centre cannot hold; mere anarchy is loosed upon the world.|
|unknown|,|RT @INTHENOWRT: #BREXIT and Donald Trump are actually the same thing  via @ANOWRT https://t.co/rp1sPRJkhE|
|leave|,|RT @roarielruiz4: Support from Chicago, for British freedom from the EU. May Britain reclaim sovereignty over its nation. #VoteLeave #Brexit|
|remain|,|To the point by @BenRosamond The #Brexit referendum and the case for #"Remain" @NewEuropeans @SchweigerC https://t.co/0E4tcJkmbj|
|leave|,|My strength is fading. I end with this, #Brexit: vote Leave for the sake of mankind.|
|unknown|,|RT @kevverage: this is a lie - it's not spin, it's not debatable, it's a proven lie  why vote for the side that shamelessly lies? https://t…|
|remain|,|RT @liz_lizanderson: Night everyone. See you all on the other side *surveys thunderous night sky* *weeps softly* #StrongerIn 🇬🇧🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺🇬🇧…|
|remain|,|RT @CarolineLucas: The EU isn't perfect. But leaving would burn bridges when we need to be building them #GreenerIN #StrongerIn #EUref http…|
|leave|,|Off to polling station now to vote leave, good bye EU  #VoteLeave|
|remain|,|I voted. you should too. #VoteRemain|
|unknown|,|Voting starts in Britain's EU membership referendum #Brexit|
|remain|,|#VoteRemain because we are stronger together.|
|leave|,|https://t.co/1faREbJlli  Without us it will fold and others will follow us out #VoteLeave|
|unknown|,|Good piece on the agendas connected to #Brexit and #Remain https://t.co/fTlKLgw3BJ|
|remain|,|RT @drhannahshort: Genuinely terrified at prospect of us being out of #EU this time tmrw. Pls, UK folk, do the right thing #VoteRemain http…|
|leave|,|RT @vote_leave: TODAY IS POLLING DAY. Polls are open from 7am this morning and close at 10pm. This is your chance - #VoteLeave! https://t.c…|
|remain|,|Hope that #British will take the wright decision #bremain|
|remain|,|RT @NicolaSturgeon: Polls open in #EUref - #VoteRemain to continue to be an outward looking nation. Let's make Scotland's voice heard.|
|leave|,|RT @vote_leave: TODAY IS POLLING DAY. Don't miss out on your chance to #VoteLeave! https://t.co/v5axDwL6Sq|
